Date	Time	Document ID	URL	Input Name	Keywords	Information Type	Source Type	Source Name	Source Domain	Content Type	Author Name	Author Handle	Title	Opening Text	Hit Sentence	Image	Hashtags	Links	Country	Region	State	City	Language	Sentiment	Keyphrases	Reach	Global Reach	National Reach	Local Reach	AVE	Social Echo	Editorial Echo	Engagement	Shares	Quotes	Likes	Replies	Reposts	Comments	Reactions	Views	Estimated Views	Document Tags	Custom Categories	Custom Fields
2025-10-29	22:06	"""1761764801000_9jeKn8JXM1ppmG7yWzpxsLVoNiwA"""	https://twitter.com/AWQAF_KSA/statuses/1983611462779105766	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		أبرز ما جاء في كلمة رئيس اللجنة الشرعية د.قيس بن محمد آل شيخ مبارك https://t.co/PXZklnCUtu		https://pbs.twimg.com/media/G4c0GMhW4AABWVV.jpg		"""https://x.com/AWQAF_KSA/status/1983611462779105766/photo/1"""	Saudi Arabia				Arabic	neutral	د.قيس;محمد آل شيخ مبارك	178692				1,652.90			38	14	1	20	1	13		23	4382				
2025-10-29	21:11	"""1761761489000_7A26pCgFGxCAGxvdBv62iaNXjFoA"""	https://twitter.com/AWQAF_KSA/statuses/1983597572166959202	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		... على هامش الندوة الفقهية الوقفية الثانية، أكد فضيلة الشيخ أ.د. عبد السلام الشويعر أن الممارسات الوقفية تتأثر بعوامل متعددة، وأن دور العلم ...		https://video.twimg.com/amplify_video/1983597484560584704/vid/avc1/1920x1080/kF5ums_z-7hV1uTc.mp4?tag=16	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983597572166959202/video/1"""	Saudi Arabia				Arabic	neutral	الفقهية الوقفية;عبد;وتنزيل	178688				1,652.86			870	128	5	555	9	123		733	47437				
2025-10-29	20:08	"""1761757698000_cSLIh3MHH6E0whEvYFOINvZpUV8A"""	https://twitter.com/AWQAF_KSA/statuses/1983581673317978342	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		"بحضور عدد من أصحاب المعالي و الفضيلة والمختصين من أهل العلم، عقدت #الهيئة_العامة_للأوقاف الندوة الفقهية الوقفية الثانية بعنوان ""تحديات العمل ..."		https://pbs.twimg.com/media/G4cY447XIAAMk7X.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983581673317978342/photo/1"""	Saudi Arabia				Arabic	neutral	الفقهية الوقفية	178686				1,652.85			176	43	1	109	4	42		129	31267				
2025-10-29	20:46	"""1761760015000_dD_tXA9y40-VAQeqd1a-dHLMDvMA"""	https://twitter.com/AWQAF_KSA/statuses/1983591389783888210	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		في إطار الندوة الفقهية الوقفية الثانية، أكد معالي الشيخ أ.د. عبد الله المطلق أن الأوقاف من أهم موارد العمل الخيري، وتمثل ركيزة في استدامة ال ...		https://video.twimg.com/amplify_video/1983591283391094784/vid/avc1/1920x1080/31ZI8ubxxvl9eT5F.mp4?tag=16	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983591389783888210/video/1"""	Saudi Arabia				Arabic	neutral	أ.د;الفقهية الوقفية;الوقفي وتعظيم	178685				1,652.84			56	16		32	4	16		36	4403				
2025-10-29	20:23	"""1761758621000_IQFymAqNMuoDFA17-CATC9JmsQ0A"""	https://twitter.com/AWQAF_KSA/statuses/1983585543028965392	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Reply	الهيئة العامة للأوقاف	@awqaf_ksa		https://t.co/5371IJvDkY		https://pbs.twimg.com/media/G4ccghHWEAAg6JG.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983585543028965392/photo/1"";""https://x.com/AWQAF_KSA/status/1983581673317978342/photo/1"""	Saudi Arabia				unknown	neutral		178685				1,652.84			11	4		5		4		7	3377				
2025-10-28	14:01	"""1761649304000_rjZYxjzPpsQvVGMSx7IEfj7xVF8A"""	https://twitter.com/AWQAF_KSA/statuses/1983127034181365890	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		في خطوة لتعزيز البحث الصحي والشراكات العلمية؛ وقعت #الهيئة_العامة_للأوقاف مذكرة تفاهم مع المعهد الوطني لأبحاث الصحة خلال ملتقى الصحة العالمي ...		https://pbs.twimg.com/media/G4V7UufXAAAUUqV.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983127034181365890/photo/1"""	Saudi Arabia				Arabic	neutral	الصحي والشراكات;الوطني لأبحاث;مذكرة تفاهم	178685				1,652.84			15	5		8	1	5		9	3148				
2025-10-28	15:22	"""1761654138000_30Nv7rTngRIE44EULWDljwjIXsYA"""	https://twitter.com/AWQAF_KSA/statuses/1983147310927515745	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		الهيئة_العامة_للأوقاف توقع اتفاقية مع هيئة الهلال الأحمر السعودي، ومؤسسة نسك للحج والعمرة؛ بهدف دعم مشروع الوحدات الإسعافية المرنة في المشاع ...		https://pbs.twimg.com/media/G4WNrd9WwAAdwXJ.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1983147310927515745/photo/1"""	Saudi Arabia				Arabic	neutral	الإسعافية المرنة;المقدسة والمنطقة;والعمرة	178680				1,652.79			23	7		14		7		16	3642				
2025-10-29	11:00	"""1761724842000_tdNUj3mGX0KLKwFrG4wp9jJPANMA"""	https://twitter.com/AWQAF_KSA/statuses/1983443865282494891	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @AWQAFRIYADAH: يسر #مركز_ريادة إطلاق النسخة الثانية من برنامج تطوير المهارات المالية للعاملين في القطاع الوقفي بالتعاون مع الأكاديمية الم ...			#مركز_ريادة	"""https://riyadahawqaf.futurex.sa/"";""https://twitter.com/1374657651011944448/status/1940395205342933308"""	Saudi Arabia				Arabic	neutral	المالية للعاملين;الوقفي بالتعاون	178676				1,652.75															
2025-10-27	22:50	"""1761594638000_aB6BESr3goD75kR3Y7xApB47Rv4A"""	https://twitter.com/AWQAF_KSA/statuses/1982897747524030686	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		شاركت #الهيئة_العامة_للأوقاف في اجتماع الطاولة المستديرة لتحفيز الأوقاف الجامعية، وتعزيز الاستدامة المالية للمؤسسات الأكاديمية. https://t.co ...		https://pbs.twimg.com/media/G4Sq9RiWQAAepCi.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1982897747524030686/photo/1"""	Saudi Arabia				Arabic	neutral	المالية للمؤسسات	178675				1,652.74			23	5		16		5		18	4027				
2025-10-27	21:58	"""1761591523000_xPWjNcKXCrnHAkHy6gawAN4EyNkA"""	https://twitter.com/AWQAF_KSA/statuses/1982884684125085974	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		زار سمو أمير منطقة عسير، جناح #الهيئة_العامة_للأوقاف في المعرض المصاحب لملتقى التميز المؤسسي في التعليم الجامعي بجامعة الملك خالد بأبها، كما ...		https://pbs.twimg.com/media/G4SfDpyXIAErVAI.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1982884684125085974/photo/1"""	Saudi Arabia				Arabic	positive	التعليمية وتعزيز;الجامعي بجامعة;المصاحب لملتقى;خالد	178673				1,652.73			17	4		13		4		13	3867				
2025-10-27	21:42	"""1761590554000_VAbq1cEk9-bWMqrHdreiX0yxxTkA"""	https://twitter.com/AWQAF_KSA/statuses/1982880619634806938	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		... كرَّم سمو أمير منطقة عسير #الهيئة_العامة_للأوقاف خلال ملتقى التميز المؤسسي في التعليم الجامعي، تقديرًا لمساهمتها في تمكين ودعم منظومات ا ...		https://pbs.twimg.com/media/G4SbYTdWgAAlWjX.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1982880619634806938/photo/1"""	Saudi Arabia				Arabic	neutral	الجامعي سبيل	178673				1,652.73			15	5		10		5		10	3733				
2025-10-23	22:31	"""1761247898000_Waphx-iGADbZDlfDH7wyouf-cpkA"""	https://twitter.com/AWQAF_KSA/statuses/1981443416626978897	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @nafsksa: لحظاتٍ ملهمة من التتويج والتمكين، جسّدت أثر الاستدامة المالية في الأوقاف والقطاع غير الربحي، خلال حفل جائزة الاستدامة المالية ا ...		https://video.twimg.com/ext_tw_video/1981442059484463104/pu/vid/avc1/1280x720/HqQzU2nOp43fnAj_.mp4?tag=12		"""https://x.com/nafsksa/status/1981442442412118364/video/1"""	Saudi Arabia				Arabic	positive	العامة للأوقاف;والتمكين	178662				1,652.62															
2025-10-22	20:34	"""1761154490000_5D-YTdpsFvMMgpswaTUD5tjtf5IA"""	https://twitter.com/AWQAF_KSA/statuses/1981051634160480493	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @nafsksa: سُجّلت جائزة الاستدامة المالية التي أطلقتها الهيئة العامة للأوقاف في جينيس للأرقام القياسية كأكبر جائزة وقفية على مستوى العالم، ...		https://pbs.twimg.com/media/G34Z_-XW8AA5QKW.jpg		"""https://x.com/nafsksa/status/1981049486714495309/photo/1"""	Saudi Arabia				Arabic	positive	العامة للأوقاف	178648				1,652.49															
2025-10-22	18:33	"""1761147192000_qozlGL9V9R-E3AIODzOlb5EBOc8A"""	https://twitter.com/AWQAF_KSA/statuses/1981021023911735480	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		شهد حفل #جائزة_الاستدامة_المالية برعاية سمو نائب أمير منطقة الرياض تدشين المعيار الوطني للاستدامة المالية، وتكريم الفائزين تعزيزًا لممارسات ...		https://pbs.twimg.com/media/G34ADK5XgAAj_rh.jpg	#الهيئة_العامة_للأوقاف;#جائزة_الاستدامة_المالية	"""https://x.com/AWQAF_KSA/status/1981021023911735480/photo/1"""	Saudi Arabia				Arabic	positive	الوطني للاستدامة	178648				1,652.49			29	12	2	12	4	10		13	24984				
2025-10-26	12:26	"""1761470810000_30iy4vmkQ6Jc_SQJly8qssQOBroA"""	https://twitter.com/AWQAF_KSA/statuses/1982378375617364440	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		"ضمن جهودها في تطوير الاستثمار الوقفي، أقامت #الهيئة_العامة_للأوقاف ورشة عمل ""المنتجات الاستثمارية الوقفية"" في منطقة نجران، نوقش خلالها أبرز ..."		https://pbs.twimg.com/media/G4LSkoaXwAA_vJ3.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1982378375617364440/photo/1"""	Saudi Arabia				Arabic	neutral	نجران	178634				1,652.36			33	14	2	17	1	12		18	4626				
2025-10-22	10:00	"""1761116408000_aNHd3uGDw5bvKViOt6QXKSUqNKAA"""	https://twitter.com/AWQAF_KSA/statuses/1980891908965822616	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @nafsksa: تابعونا في البث المباشر لجائزة الاستدامة المالية https://t.co/NMpAHIEqp5				"""https://twitter.com/i/broadcasts/1zqJVdVQpkMKB"""	Saudi Arabia				Arabic	neutral	لجائزة الاستدامة	178634				1,652.36															
2025-10-26	11:20	"""1761466829000_aJbltQmltHJ1D32jPpyMj3sU-zoA"""	https://twitter.com/AWQAF_KSA/statuses/1982361678965776846	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @HajjConfEX: يُسعدنا انضمام ⁦@AWQAF_KSA الراعي الإستراتيجي، مسهمًا في إنجاح الفصل الجديد من ⁧#مؤتمر_ومعرض_الحج⁩ بنسخته الخامسة. ⁧#من_مكة_ ...		https://pbs.twimg.com/media/G3yi5T1XQAAanP5.png	#frommakkahtotheworld;#hajjconfex;#مؤتمر_ومعرض_الحج;#من_مكة_إلى_العالم	"""https://x.com/HajjConfEX/status/1980637141182083515/photo/1"""	Saudi Arabia				Sindhi	positive		178630				1,652.33															
2025-10-20	16:29	"""1760966965000_0afnbiR2C5Ckh5hsJy9Qrqn1M8oA"""	https://twitter.com/AWQAF_KSA/statuses/1980265099483836442	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @AWQAFRIYADAH: أطلق #مركز_ريادة – الذراع المعرفي والتمكيني لـ #الهيئة_العامة_للأوقاف – اليوم استبانة وطنية شاملة لقياس المساهمة الاقتصادي ...			#الهيئة_العامة_للأوقاف;#مركز_ريادة		Saudi Arabia				Arabic	positive	الوقفي كشريك;والاجتماعية لقطاع	178577				1,651.84															
2025-10-20	20:00	"""1760979626000_eFVvEyvc1CFk0g9Ce3Q5cQEJ9O8A"""	https://twitter.com/AWQAF_KSA/statuses/1980318202480447876	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		خدمات #الهيئة_العامة_للأوقاف أصبحت أقرب وأسهل عبر #التطبيق_الوطني_الشامل توكلنا #تعال_معنا https://t.co/0KfeCRV79v		https://pbs.twimg.com/media/G3uA5NbWEAAESA3.jpg	#التطبيق_الوطني_الشامل;#الهيئة_العامة_للأوقاف;#تعال_معنا	"""https://x.com/AWQAF_KSA/status/1980318202480447876/photo/1"""	Saudi Arabia				Arabic	neutral		178575				1,651.82			24	8		11	1	8		15	4415				
2025-10-20	14:47	"""1760960851000_kfsqTu5Ojaw8omlMGOX_Rzsz2dQA"""	https://twitter.com/AWQAF_KSA/statuses/1980239455697936588	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Quote	الهيئة العامة للأوقاف	@awqaf_ksa		QT @nafsksa: برعاية نائب أمير منطقة الرياض، تدعوكم #الهيئة_العامة_للأوقاف للتسجيل لحضور حفل جائزة الاستدامة المالية؛ للاحتفاء بالممارسات الم ...			#الهيئة_العامة_للأوقاف	"""https://twitter.com/nafsksa/status/1979158541954093420"""	Saudi Arabia				Arabic	positive	الملكي الأمير;جائزة الاستدامة	178571				1,651.78			12	6		6		6		6	5623				
2025-10-12	19:17	"""1760285848000_EdfqHfTj0RpRGrhR6IuiuVCh2TkA"""	https://twitter.com/AWQAF_KSA/statuses/1977408285331296420	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		... نمّي أثر وقفك بخيارات استثمارية موثوقة. خدمة تفويض استثمار الأموال المودعة لدى #الهيئة_العامة_للأوقاف والتي نزعت ملكيتها للمصلحة العامة ...		https://pbs.twimg.com/media/G3EqVvNWYAA4KkH.jpg	#الهيئة_العامة_للأوقاف;#لكل_وقف_وواقف	"""https://x.com/AWQAF_KSA/status/1977408285331296420/photo/1"""	Saudi Arabia				Arabic	neutral		178570				1,651.77			19	5		9	2	5		12	3321				
2025-10-19	17:27	"""1760884027000_JgkH1RazNV94QzmhkxFJ3GipWFQA"""	https://twitter.com/AWQAF_KSA/statuses/1979917231657025919	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		... من منطلق استدامة الأثر واستمراره تطلق #الهيئة_العامة_للأوقاف خدمة ترخيص جمع التبرعات والتي تتيح للجهات الاعتبارية تقديم طلب للحصول على ت ...		https://pbs.twimg.com/media/G3oUNpvXEAAhyzH.jpg	#الهيئة_العامة_للأوقاف	"""https://www.awqaf.gov.sa/ar/services/"";""https://x.com/AWQAF_KSA/status/1979917231657025919/photo/1"""	Saudi Arabia				Arabic	neutral	الاعتبارية تقديم;جديد بغرض	178553				1,651.62			126	41	2	61	3	39		82	10959				
2025-10-19	14:29	"""1760873378000_t6iJgYBoMB004IJznPH4vXk5HTwA"""	https://twitter.com/AWQAF_KSA/statuses/1979872566274634014	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		"... أصدرت #الهيئة_العامة_للأوقاف لائحة ""إنشاء الأوقاف أو تمويلها من خلال جمع التبرعات"" التي تهدف إلى ضبط إجراءات إنشاء الأوقاف وتمويلها عن ط ..."		https://pbs.twimg.com/media/G3nrlx0WkAAYSVy.jpg	#الهيئة_العامة_للأوقاف	"""https://www.awqaf.gov.sa/ar/rules-and-regulations/"";""https://x.com/AWQAF_KSA/status/1979872566274634014/photo/1"""	Saudi Arabia				Arabic	neutral		178549				1,651.58			69	21	1	34	2	20		46	7704				
2025-10-18	20:09	"""1760807389000_QO_6d-evZvzND_qSiggSCa_IDsMA"""	https://twitter.com/AWQAF_KSA/statuses/1979595786771141057	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Repost	الهيئة العامة للأوقاف	@awqaf_ksa		RT @EmadAlkharashi: تُعَدّ لائحة إنشاء الأوقاف أو تمويلها من خلال جمع التبرعات التي أصدرتها الهيئة العامة للأوقاف، إطارًا تنظيميًا يرسّخ مبد ...				"""https://twitter.com/awqaf_ksa/status/1979533046324883807"""	Saudi Arabia				Arabic	positive	العامة للأوقاف	178549				1,651.58															
2025-10-16	16:03	"""1760619800000_h1fZ1oX3_Pbh6NGNevYNOoIUek0A"""	https://twitter.com/AWQAF_KSA/statuses/1978808981515641204	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		تعرّف على خدمات #الهيئة_العامة_للأوقاف في #التطبيق_الوطني_الشامل توكلنا #تعال_معنا https://t.co/qGWS8OUfpI		https://pbs.twimg.com/media/G3YkRBPX0AM2VZ4.jpg	#التطبيق_الوطني_الشامل;#الهيئة_العامة_للأوقاف;#تعال_معنا	"""https://x.com/AWQAF_KSA/status/1978808981515641204/photo/1"""	Saudi Arabia				Arabic	neutral		178540				1,651.49			29	10		14		10		19	11473				
2025-10-14	18:00	"""1760454056000_mSfvqZ5ukp_kuhg4CDfdUuHy_GAA"""	https://twitter.com/AWQAF_KSA/statuses/1978113801493848520	(from:awqaf_ksa)		social	social network	Twitter	twitter.com	Social Post	الهيئة العامة للأوقاف	@awqaf_ksa		"عقدت #الهيئة_العامة_للأوقاف ورشة عمل بعنوان ""جدول المخالفات والجزاءات للائحة تنظيم أعمال النظارة"" في الخُبر، ناقشت خلالها أبرز بنود اللائحة؛ ..."		https://pbs.twimg.com/media/G3Or9v8WcAAZsnv.jpg	#الهيئة_العامة_للأوقاف	"""https://x.com/AWQAF_KSA/status/1978113801493848520/photo/1"""	Saudi Arabia				Arabic	neutral		178535				1,651.45			17	4		11	2	4		11	3405				
